1,Banano,Pequeño,
2,Ciruelas claudias,Pequeñas,
3,Curuba,Grandes,
4,Durazno,Mediano,
5,Fresas,Unidades,
6,Guanábana,Cucharas soperas,
7,Guayaba,Medianas,
8,Granadilla,Medianas,
9,Higo,Mediano,
10,Kiwi,Unidades pequeñas,
11,Lulo,Unidades pequeñas,
12,Mandarina,Grande,
13,Mango,Pequeño,
14,Manzana,Pequeña,
15,Maracuyá,Medianas,
16,Mora,Unidades,
17,Murrapo,Unidad,
18,Naranja,Mediana,
19,Uchuvas,Unidades,
20,Papaya,Tajada pequeña,
21,Papayuela,Unidad pequeña,
22,Pera,Mediana,
23,Piña,Rebanada,
24,Pitaya,Unidad,
25,Sandia,Porción,
26,Tomate de árbol,Medianos,
27,Toronja,Unidad pequeña,
28,Uvas,Unidades,
29,Uvas Chilenas,Unidades,
30,Zapote,Pequeño,
31,Fruta picada,Pocillo,
